x1,x2,y1,y2
-5.741,317.017,7.599,0.021
-5.722,309.318,7.699,-0.019
-5.743,301.519,7.799,0.021
-5.725,293.621,7.899,-0.019
-5.746,285.622,7.999,0.021
-5.767,277.623,7.999,0.021
-5.788,269.624,7.999,0.021
-5.81,261.626,7.999,0.021
-5.831,253.627,7.999,0.021
-5.852,245.628,7.999,0.021
-5.873,237.629,7.999,0.021
-5.895,229.631,7.999,0.021
-5.916,221.632,7.999,0.021
-5.937,213.633,7.999,0.021
-5.958,205.634,7.999,0.021
-5.98,197.636,7.999,0.021
-6.001,189.637,7.999,0.021
-6.022,181.638,7.999,0.021
-6.044,173.639,7.999,0.021
-6.065,165.64,7.999,0.021
-6.086,157.642,7.999,0.021
-6.107,149.643,7.999,0.021
-6.129,141.644,7.999,0.021
-6.15,133.645,7.999,0.021
-6.171,125.647,7.999,0.021
-6.192,117.648,7.999,0.021
-6.214,109.649,7.999,0.021
-6.235,101.65,7.999,0.021
-6.256,93.652,7.999,0.021
-6.277,85.653,7.999,0.021
-6.299,77.654,7.999,0.021
-6.32,69.655,7.999,0.021
-336.859,353.5,7.999,0.021
-336.899,353.6,0.593,0
-336.892,353.8,-0.1,0.04
-336.911,354.099,-0.2,-0.007
-336.869,354.498,-0.299,0.019
-336.839,354.994,-0.398,-0.042
-336.815,355.587,-0.496,-0.03
-336.789,356.276,-0.593,-0.024
-336.755,357.059,-0.689,-0.026
-336.705,357.934,-0.783,-0.034
-336.634,358.9,-0.875,-0.049
-336.534,359.953,-0.965,-0.071
-336.4,361.092,-1.053,-0.1
-336.224,362.314,-1.139,-0.135
-336,363.615,-1.222,-0.176
-335.722,364.993,-1.301,-0.224
-335.385,366.444,-1.378,-0.278
-334.987,367.968,-1.451,-0.338
-334.53,369.566,-1.524,-0.398
-334.012,371.236,-1.598,-0.458
-333.435,372.98,-1.671,-0.518
-332.797,374.798,-1.744,-0.578
-332.1,376.688,-1.817,-0.638
-331.342,378.651,-1.89,-0.698
-330.525,380.688,-1.964,-0.758
-329.647,382.798,-2.037,-0.818
-328.709,384.981,-2.11,-0.878
-327.712,387.238,-2.183,-0.938
-326.654,389.567,-2.256,-0.998
-325.537,391.97,-2.33,-1.058
-324.359,394.446,-2.403,-1.118
-323.122,396.995,-2.476,-1.178
-321.824,399.617,-2.549,-1.238
-320.467,402.313,-2.622,-1.298
-319.149,404.909,-2.696,-1.358
-317.872,407.404,-2.596,-1.318
-316.634,409.8,-2.496,-1.278
-315.437,412.095,-2.396,-1.238
-314.279,414.291,-2.296,-1.198
-313.161,416.387,-2.196,-1.158
-312.084,418.382,-2.096,-1.118
-311.046,420.278,-1.996,-1.078
-310.049,422.073,-1.896,-1.038
-309.091,423.769,-1.796,-0.998
-308.174,425.365,-1.696,-0.958
-307.296,426.86,-1.596,-0.918
-306.459,428.256,-1.496,-0.878
-305.661,429.551,-1.396,-0.838
-304.904,430.747,-1.296,-0.798
-304.186,431.842,-1.196,-0.758
-303.509,432.838,-1.096,-0.718
-302.871,433.734,-0.996,-0.678
-302.273,434.529,-0.896,-0.638
-301.716,435.225,-0.796,-0.598
-301.098,435.994,-0.696,-0.558
-300.421,436.836,-0.769,-0.618
-299.683,437.751,-0.842,-0.678
-298.886,438.739,-0.915,-0.738
-298.028,439.801,-0.988,-0.798
-297.111,440.936,-1.062,-0.858
-296.133,442.144,-1.135,-0.918
-295.096,443.425,-1.208,-0.978
-293.998,444.779,-1.281,-1.038
-292.841,446.207,-1.354,-1.098
-291.623,447.708,-1.428,-1.158
-290.345,449.282,-1.501,-1.218
-289.008,450.929,-1.574,-1.278
-287.71,452.476,-1.647,-1.338
-286.453,453.924,-1.547,-1.298
-285.235,455.271,-1.447,-1.258
-284.058,456.518,-1.347,-1.218
-282.92,457.665,-1.247,-1.178
-281.823,458.713,-1.147,-1.138
-280.765,459.66,-1.047,-1.098
-279.748,460.507,-0.947,-1.058
-278.77,461.254,-0.847,-1.018
-277.832,461.902,-0.747,-0.978
-276.835,462.622,-0.647,-0.938
-275.777,463.416,-0.72,-0.998
-274.66,464.283,-0.794,-1.058
-273.482,465.223,-0.867,-1.118
-272.245,466.236,-0.94,-1.178
-270.947,467.322,-1.013,-1.238
-269.59,468.482,-1.086,-1.298
-268.172,469.715,-1.16,-1.358
-266.695,471.021,-1.233,-1.418
-265.157,472.4,-1.306,-1.478
-263.56,473.853,-1.379,-1.538
-261.902,475.379,-1.453,-1.598
-260.284,476.804,-1.526,-1.658
-258.707,478.13,-1.426,-1.618
-257.169,479.356,-1.326,-1.578
-255.672,480.482,-1.226,-1.538
-254.214,481.507,-1.126,-1.498
-252.797,482.433,-1.026,-1.458
-251.419,483.259,-0.926,-1.418
-250.082,483.984,-0.826,-1.378
-248.784,484.61,-0.726,-1.338
-247.527,485.136,-0.626,-1.298
-246.309,485.562,-0.526,-1.258
-245.132,485.887,-0.426,-1.218
-243.894,486.286,-0.326,-1.178
-242.596,486.758,-0.399,-1.238
-241.239,487.304,-0.472,-1.298
-239.821,487.922,-0.545,-1.358
-238.344,488.614,-0.619,-1.418
-236.806,489.379,-0.692,-1.478
-235.209,490.217,-0.765,-1.538
-233.551,491.128,-0.838,-1.598
-231.834,492.113,-0.911,-1.658
-230.056,493.171,-0.985,-1.718
-228.219,494.302,-1.058,-1.778
-226.321,495.506,-1.131,-1.838
-224.464,496.61,-1.204,-1.898
-222.646,497.614,-1.104,-1.858
-220.868,498.518,-1.004,-1.818
-219.131,499.322,-0.904,-1.778
-217.433,500.027,-0.804,-1.738
-215.776,500.631,-0.704,-1.698
-214.158,501.135,-0.604,-1.658
-212.581,501.539,-0.504,-1.618
-211.043,501.843,-0.404,-1.578
-209.546,502.048,-0.304,-1.538
-208.088,502.152,-0.204,-1.498
-206.671,502.156,-0.104,-1.458
-205.293,502.06,-0.004,-1.418
-203.855,502.037,0.096,-1.378
-202.358,502.088,0.023,-1.438
-200.8,502.212,-0.051,-1.498
-199.183,502.409,-0.124,-1.558
-197.505,502.679,-0.197,-1.618
-195.768,503.022,-0.27,-1.678
-193.97,503.439,-0.343,-1.738
-192.113,503.929,-0.417,-1.798
-190.195,504.492,-0.49,-1.858
-188.218,505.128,-0.563,-1.918
-186.18,505.838,-0.636,-1.978
-184.083,506.62,-0.709,-2.038
-181.925,507.476,-0.783,-2.098
-179.707,508.405,-0.856,-2.158
-177.43,509.407,-0.929,-2.218
-175.092,510.483,-1.002,-2.278
-172.695,511.631,-1.075,-2.338
-170.237,512.853,-1.149,-2.398
-167.72,514.148,-1.222,-2.458
-165.142,515.517,-1.295,-2.518
-162.605,516.785,-1.368,-2.578
