x1,x2,y1,y2
-98.84669414,488.6515237,3.462429718,-2.799981814
-96.04671232,485.189094,3.562429718,-2.759981814
-93.28673051,481.6266643,3.662429718,-2.719981814
-90.5667487,477.9642346,3.762429718,-2.679981814
-87.88676688,474.2018049,3.862429718,-2.639981814
-85.24678507,470.3393752,3.962429718,-2.599981814
-82.64680325,466.3769454,4.062429718,-2.559981814
-80.08682144,462.3145157,4.162429718,-2.519981814
-77.56683963,458.152086,4.262429718,-2.479981814
-75.08685781,453.8896563,4.362429718,-2.439981814
-72.646876,449.5272266,4.462429718,-2.399981814
-70.24689418,445.0647969,4.562429718,-2.359981814
-67.88691237,440.5023671,4.662429718,-2.319981814
-65.56693055,435.8399374,4.762429718,-2.279981814
-63.28694874,431.0775077,4.862429718,-2.239981814
-61.04696693,426.215078,4.962429718,-2.199981814
-58.84698511,421.2526483,5.062429718,-2.159981814
-56.6870033,416.1902185,5.162429718,-2.119981814
-54.56702148,411.0277888,5.262429718,-2.079981814
-52.48703967,405.7653591,5.362429718,-2.039981814
-50.44705785,400.4029294,5.462429718,-1.999981814
-48.44707604,394.9404997,5.562429718,-1.959981814
-46.48709423,389.37807,5.662429718,-1.919981814
-44.56711241,383.7156402,5.762429718,-1.879981814
-42.6871306,377.9532105,5.862429718,-1.839981814
-40.84714878,372.0907808,5.962429718,-1.799981814
-39.04716697,366.1283511,6.062429718,-1.759981814
-37.28718516,360.0659214,6.162429718,-1.719981814
-35.56720334,353.9034917,6.262429718,-1.679981814
-33.88722153,347.6410619,6.362429718,-1.639981814
-32.24723971,341.2786322,6.462429718,-1.599981814
-30.6472579,334.8162025,6.562429718,-1.559981814
-29.08727608,328.2537728,6.662429718,-1.519981814
-27.56729427,321.5913431,6.762429718,-1.479981814
-26.08731246,314.8289133,6.862429718,-1.439981814
-24.64733064,307.9664836,6.962429718,-1.399981814
-23.24734883,301.0040539,7.062429718,-1.359981814
-21.88736701,293.9416242,7.162429718,-1.319981814
-20.5673852,286.7791945,7.262429718,-1.279981814
-19.28740339,279.5167648,7.362429718,-1.239981814
-18.04742157,272.154335,7.462429718,-1.199981814
-16.84743976,264.6919053,7.562429718,-1.159981814
-15.68745794,257.1294756,7.662429718,-1.119981814
-14.56747613,249.4670459,7.762429718,-1.079981814
-13.48749431,241.7046162,7.862429718,-1.039981814
-12.4475125,233.8421865,7.862429718,-1.039981814
-11.40753069,225.9797567,7.862429718,-1.039981814
-10.36754887,218.117327,7.862429718,-1.039981814
-9.327567057,210.2548973,7.862429718,-1.039981814
-8.287585243,202.3924676,7.862429718,-1.039981814
-7.247603429,194.5300379,7.862429718,-1.039981814
-6.207621615,186.6676081,7.862429718,-1.039981814
-5.167639801,178.8051784,7.862429718,-1.039981814
-4.127657986,170.9427487,7.862429718,-1.039981814
-3.087676172,163.080319,7.862429718,-1.039981814
-2.047694358,155.2178893,7.862429718,-1.039981814
-1.007712544,147.3554596,7.862429718,-1.039981814
0.03226927,139.4930298,7.862429718,-1.039981814
1.072251084,131.6306001,7.862429718,-1.039981814
2.112232899,123.7681704,7.862429718,-1.039981814
3.152214713,115.9057407,7.862429718,-1.039981814
4.192196527,108.043311,7.862429718,-1.039981814
5.232178341,100.1808813,7.862429718,-1.039981814
6.272160155,92.31845153,7.862429718,-1.039981814
7.31214197,84.45602182,7.862429718,-1.039981814
8.352123784,76.5935921,7.862429718,-1.039981814
9.392105598,68.73116238,7.862429718,-1.039981814
-161.4364609,431.9,0,0
-161.4364609,431.9,-0.1,0.04
-161.4764609,432,-0.2,0
-161.4764609,432.2,-0.3,0.04
